#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""07.05.2023 06:00"";""-4.6"";"""";"""";"""";""79"";""Ветер, дующий с северо-востока"";""6"";"""";"""";"""";"" "";"""";"""";""-5.0"";"""";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""07.05.2023 03:00"";""-4.6"";""766.0"";"""";"""";""78"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""100%."";""Снег с перерывами умеренный в срок наблюдения. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 21:00"";""-4.8"";"""";"""";"""";""80"";""Ветер, дующий с северо-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 18:00"";""-4.3"";""768.0"";"""";"""";""83"";""Штиль, безветрие"";""0"";"""";"""";"""";"" "";"""";"""";"""";""-3.9"";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""06.05.2023 15:00"";""-4.1"";""768.0"";"""";"""";""87"";""Ветер, дующий с востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 12:00"";""-4.0"";""767.0"";"""";"""";""80"";""Ветер, дующий с северо-востока"";""2"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 09:00"";""-4.2"";""767.0"";"""";"""";""82"";""Штиль, безветрие"";""0"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 03:00"";""-5.2"";"""";"""";"""";""86"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 00:00"";""-4.9"";""765.0"";"""";"""";""88"";""Ветер, дующий с севера"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""50.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 21:00"";""-4.6"";""765.0"";"""";"""";""88"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
