#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время на метеостанции им. М.В.Попова"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""19.04.2023 17:00"";""-3.7"";""760.8"";""761.3"";""-0.4"";""91"";""Ветер, дующий с юго-запада"";""1"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""40%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""19.04.2023 14:00"";""-2.8"";""761.2"";""761.8"";""-0.6"";""91"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-4.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""19.04.2023 11:00"";""-3.8"";""761.8"";""762.4"";""-0.6"";""92"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""19.04.2023 08:00"";""-5.0"";""762.4"";""762.9"";""-1.2"";""94"";""Ветер, дующий с запада"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-6.0"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1500-2000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.8"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""76.0""",,,,,,
"""19.04.2023 05:00"";""-5.7"";""763.6"";""764.2"";""-0.9"";""96"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1500-2000"";"""";"""";""20.0"";""-6.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""19.04.2023 02:00"";""-5.4"";""764.5"";""765.1"";""-0.9"";""97"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""-5.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""18.04.2023 23:00"";""-5.6"";""765.4"";""766.0"";""-1.2"";""96"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""-6.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""18.04.2023 20:00"";""-5.6"";""766.6"";""767.2"";""-1.0"";""95"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";""-5.5"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-6.3"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""18.04.2023 17:00"";""-5.8"";""767.6"";""768.1"";""0.0"";""93"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-6.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""18.04.2023 14:00"";""-5.8"";""767.6"";""768.1"";""-1.3"";""93"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-6.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""18.04.2023 11:00"";""-9.5"";""768.9"";""769.5"";""-1.0"";""93"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-10.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""18.04.2023 08:00"";""-10.9"";""769.9"";""770.5"";""-0.8"";""85"";""Ветер, дующий с запада"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";""-18.9"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-12.9"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""76.0""",,,,,,
"""18.04.2023 05:00"";""-15.1"";""770.7"";""771.3"";""-1.0"";""89"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-16.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""18.04.2023 02:00"";""-15.7"";""771.7"";""772.3"";""-0.5"";""89"";""Ветер, дующий с запада"";""2"";"""";"""";""20–30%."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-17.1"";"""";"""";"""";"""";""","""",,,,,
"""17.04.2023 23:00"";""-15.5"";""772.2"";""772.8"";""-0.5"";""89"";""Ветер, дующий с запада"";""3"";"""";"""";""20–30%."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""0.5"";""-16.9"";"""";"""";"""";""""","""""","""""",,,,
"""17.04.2023 20:00"";""-14.7"";""772.7"";""773.2"";""0.1"";""89"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";""-10.4"";"""";"""";"""";"""";"""";""20.0"";""-16.1"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""17.04.2023 17:00"";""-11.7"";""772.6"";""773.2"";""0.2"";""89"";""Ветер, дующий с севера"";""1"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-13.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""17.04.2023 14:00"";""-11.9"";""772.4"";""773.0"";""0.0"";""91"";""Ветер, дующий с северо-северо-запада"";""2"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-13.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""17.04.2023 11:00"";""-12.3"";""772.4"";""773.0"";""0.4"";""92"";""Ветер, дующий с северо-северо-запада"";""2"";"""";"""";""Облаков нет."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-13.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""17.04.2023 08:00"";""-19.4"";""772.0"";""772.6"";""0.5"";""88"";""Ветер, дующий с севера"";""3"";"""";"""";""Облаков нет."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";""-22.8"";"""";"""";"""";"""";"""";"""";""0.8"";""-20.9"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""76.0""",,,,,,
"""17.04.2023 05:00"";""-21.8"";""771.5"";""772.1"";""0.0"";""84"";""Ветер, дующий с северо-северо-востока"";""2"";"""";"""";""Облаков нет."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""-23.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""17.04.2023 02:00"";""-20.6"";""771.5"";""772.1"";""0.5"";""86"";""Ветер, дующий с северо-северо-востока"";""3"";"""";"""";""Облаков нет."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""0.6"";""-22.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""16.04.2023 23:00"";""-21.8"";""771.0"";""771.6"";""0.2"";""83"";""Ветер, дующий с северо-запада"";""1"";"""";"""";""Облаков нет."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""0.6"";""-23.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""16.04.2023 20:00"";""-18.1"";""770.8"";""771.4"";""0.6"";""88"";""Ветер, дующий с востоко-юго-востока"";""1"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";""-12.3"";"""";"""";"""";"""";"""";""18.0"";""-19.6"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""16.04.2023 17:00"";""-13.3"";""770.2"";""770.8"";""1.4"";""79"";""Ветер, дующий с востоко-юго-востока"";""2"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-16.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""16.04.2023 14:00"";""-14.7"";""768.8"";""769.4"";""1.0"";""85"";""Ветер, дующий с востоко-юго-востока"";""2"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-16.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""16.04.2023 11:00"";""-16.2"";""767.8"";""768.4"";""0.6"";""88"";""Ветер, дующий с северо-северо-востока"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-17.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""16.04.2023 08:00"";""-19.5"";""767.2"";""767.8"";""0.6"";""86"";""Ветер, дующий с севера"";""4"";"""";"""";""60%."";"" "";"""";"""";""-20.2"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-21.3"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""76.0""",,,,,,
"""16.04.2023 05:00"";""-19.8"";""766.6"";""767.2"";""0.2"";""86"";""Ветер, дующий с севера"";""5"";"""";""11"";""60%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-21.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""16.04.2023 02:00"";""-15.4"";""766.4"";""767.0"";""-0.5"";""88"";""Ветер, дующий с северо-северо-востока"";""8"";"""";""11"";""90  или более, но не 100%"";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, перисто-кучевых или перист",-с,ои,ты, н,т.,""""
"""15.04.2023 23:00"";""-13.2"";""766.9"";""767.5"";""-0.4"";""89"";""Ветер, дующий с севера"";""7"";"""";""13"";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","""","""",.0,"""",14,"7"""
"""15.04.2023 20:00"";""-13.9"";""767.3"";""767.9"";""0.0"";""89"";""Ветер, дующий с севера"";""8"";""11"";""11"";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";""-12.3"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перист","х,",пе,ис,о-,уч,вы
"""15.04.2023 17:00"";""-13.3"";""767.3"";""767.9"";""0.7"";""87"";""Ветер, дующий с севера"";""9"";""11"";""12"";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";"""";""-15.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.04.2023 14:00"";""-13.1"";""766.6"";""767.2"";""1.0"";""84"";""Ветер, дующий с севера"";""8"";""10"";""12"";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""14.0"";""-15.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.04.2023 11:00"";""-13.2"";""765.6"";""766.2"";""1.4"";""87"";""Ветер, дующий с северо-северо-востока"";""9"";""11"";""13"";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью."";""4.5"";""-14.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.04.2023 08:00"";""-12.3"";""764.2"";""764.7"";""1.4"";""90"";""Ветер, дующий с северо-северо-востока"";""9"";""11"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-18.5"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.5"";""-13.6"";""0.3"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""76.0""",,,,,,
"""15.04.2023 05:00"";""-12.4"";""762.8"";""763.4"";""1.0"";""91"";""Ветер, дующий с севера"";""10"";""12"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.7"";""-13.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.04.2023 02:00"";""-12.2"";""761.8"";""762.4"";""0.6"";""92"";""Ветер, дующий с севера"";""8"";""10"";""11"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""6.0"";""-13.3"";"""";"""";"""";"""";"""";""""",,,,,,
