#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""20.04.2023 00:00"";""-0.1"";""762.2"";""762.6"";""-1.4"";""99"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""13"";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""9.0"";""-0.2"";"""";"""";"""";"""";"""";"""""
"""19.04.2023 21:00"";""0.0"";""763.6"";""764.0"";""-2.0"";""98"";""Ветер, дующий с западо-юго-запада"";""11"";""13"";""15"";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""4.2"";""-0.3"";"""";"""";"""";"""";"""";"""""
"""19.04.2023 18:00"";""0.0"";""765.6"";""766.0"";""-1.9"";""97"";""Ветер, дующий с западо-юго-запада"";""11"";""14"";""14"";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";""0.5"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""8.0"";""-0.4"";""0.3"";""12"";"""";"""";"""";"""""
"""19.04.2023 15:00"";""0.5"";""767.5"";""767.9"";""-2.5"";""92"";""Ветер, дующий с юго-запада"";""11"";""14"";""14"";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Буря"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""16.0"";""-0.7"";"""";"""";"""";"""";"""";"""""
"""19.04.2023 12:00"";""-1.0"";""770.0"";""770.4"";""-1.8"";""93"";""Ветер, дующий с юго-запада"";""10"";""12"";""12"";""100%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""16.0"";""-2.0"";"""";"""";"""";"""";"""";"""""
"""19.04.2023 09:00"";""-3.6"";""771.8"";""772.2"";""-1.5"";""90"";""Ветер, дующий с западо-юго-запада"";""8"";"""";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""13.0"";""-5.0"";"""";"""";"""";"""";"""";"""""
"""19.04.2023 06:00"";""-4.6"";""773.3"";""773.7"";""-0.9"";""94"";""Ветер, дующий с запада"";""6"";"""";"""";""100%."";"" "";"""";"""";""-7.5"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""8.0"";""-5.5"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""25.0"""
"""19.04.2023 03:00"";""-4.3"";""774.2"";""774.6"";""-0.6"";""96"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""14.0"";""-4.8"";"""";"""";"""";"""";"""";"""""
"""19.04.2023 00:00"";""-3.9"";""774.8"";""775.2"";""-0.2"";""96"";""Ветер, дующий с западо-северо-запада"";""3"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""6.0"";""-4.4"";"""";"""";"""";"""";"""";"""""
"""18.04.2023 21:00"";""-5.9"";""775.0"";""775.3"";""0.3"";""96"";""Ветер, дующий с запада"";""3"";"""";"""";""90  или более, но не 100%"";""Дымка. "";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""6.0"";""-6.5"";"""";"""";"""";"""";"""";"""""
"""18.04.2023 18:00"";""-2.5"";""774.7"";""775.0"";""0.3"";""94"";""Ветер, дующий с западо-северо-запада"";""2"";"""";"""";""Облаков нет."";""Дымка. "";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";""0.6"";"""";"""";"""";"""";"""";""4.0"";""-3.4"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""18.04.2023 15:00"";""-0.6"";""774.4"";""774.8"";""0.6"";""89"";""Ветер, дующий с северо-запада"";""2"";"""";"""";""Облаков нет."";""Дымка. "";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""9.0"";""-2.2"";"""";"""";"""";"""";"""";"""""
"""18.04.2023 12:00"";""-0.4"";""773.8"";""774.1"";""0.8"";""80"";""Ветер, дующий с юга"";""6"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""14.0"";""-3.4"";"""";"""";"""";"""";"""";"""""
"""18.04.2023 09:00"";""-1.4"";""773.0"";""773.4"";""0.6"";""82"";""Ветер, дующий с юго-юго-востока"";""5"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""14.0"";""-4.1"";"""";"""";"""";"""";"""";"""""
"""18.04.2023 06:00"";""-2.3"";""772.4"";""772.8"";""0.7"";""84"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""100%."";"" "";"""";"""";""-2.6"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.6"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""25.0"""
"""18.04.2023 03:00"";""-2.3"";""771.7"";""772.0"";""0.5"";""84"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.6"";"""";"""";"""";"""";"""";"""""
"""18.04.2023 00:00"";""-2.4"";""771.2"";""771.6"";""0.2"";""88"";""Ветер, дующий с юго-востока"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.1"";"""";"""";"""";"""";"""";"""""
"""17.04.2023 21:00"";""-1.8"";""771.0"";""771.4"";""0.2"";""82"";""Ветер, дующий с юго-востока"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.5"";"""";"""";"""";"""";"""";"""""
"""17.04.2023 18:00"";""-1.4"";""770.8"";""771.1"";""0.2"";""79"";""Ветер, дующий с северо-востока"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";""-0.6"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.7"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""17.04.2023 15:00"";""-0.6"";""770.6"";""771.0"";""0.6"";""81"";""Ветер, дующий с северо-запада"";""2"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-3.5"";"""";"""";"""";"""";"""";"""""
"""17.04.2023 12:00"";""-1.2"";""770.0"";""770.4"";""0.4"";""90"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""19.0"";""-2.6"";"""";"""";"""";"""";"""";"""""
"""17.04.2023 09:00"";""-2.1"";""769.6"";""769.9"";""0.1"";""92"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""18.0"";""-3.3"";"""";"""";"""";"""";"""";"""""
"""17.04.2023 06:00"";""-3.6"";""769.5"";""769.9"";""0.0"";""97"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";"" "";"""";"""";""-7.4"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""13.0"";""-4.0"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""25.0"""
"""17.04.2023 03:00"";""-4.3"";""769.5"";""769.9"";""-0.3"";""96"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""8.0"";""-4.8"";"""";"""";"""";"""";"""";"""""
"""17.04.2023 00:00"";""-6.7"";""769.8"";""770.2"";""-0.4"";""94"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-7.5"";"""";"""";"""";"""";"""";"""""
"""16.04.2023 21:00"";""-4.8"";""770.2"";""770.5"";""-0.3"";""96"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-5.4"";"""";"""";"""";"""";"""";"""""
"""16.04.2023 18:00"";""-2.5"";""770.5"";""770.9"";""-0.7"";""91"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""40%."";"" "";"""";"""";"""";""-0.4"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-3.8"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""16.04.2023 15:00"";""-0.8"";""771.2"";""771.6"";""-0.2"";""86"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-2.9"";"""";"""";"""";"""";"""";"""""
"""16.04.2023 12:00"";""-1.9"";""771.4"";""771.8"";""-0.1"";""84"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-4.3"";"""";"""";"""";"""";"""";"""""
"""16.04.2023 09:00"";""-3.2"";""771.5"";""771.9"";""-0.8"";""92"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""17.0"";""-4.4"";"""";"""";"""";"""";"""";"""""
"""16.04.2023 06:00"";""-4.8"";""772.3"";""772.6"";""-0.6"";""96"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""20–30%."";"" "";"""";"""";""-5.0"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""10%  или менее, но не 0"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-5.4"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""25.0"""
"""16.04.2023 03:00"";""-2.2"";""772.9"";""773.2"";""-0.4"";""99"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""1.4"";""-2.4"";"""";"""";"""";"""";"""";"""""
"""16.04.2023 00:00"";""-1.5"";""773.3"";""773.7"";""-0.7"";""92"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""-2.7"";"""";"""";"""";"""";"""";"""""
"""15.04.2023 21:00"";""-1.8"";""774.0"";""774.4"";""-0.4"";""92"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""-3.0"";"""";"""";"""";"""";"""";"""""
"""15.04.2023 18:00"";""-1.5"";""774.4"";""774.8"";""0.0"";""89"";""Ветер, дующий с запада"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";""-0.5"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-3.1"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""15.04.2023 15:00"";""-0.5"";""774.4"";""774.7"";""0.6"";""83"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.1"";"""";"""";"""";"""";"""";"""""
"""15.04.2023 12:00"";""-0.6"";""773.8"";""774.1"";""1.0"";""79"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""15.04.2023 09:00"";""-1.0"";""772.8"";""773.2"";""1.4"";""80"";""Ветер, дующий с севера"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.0"";"""";"""";"""";"""";"""";"""""
"""15.04.2023 06:00"";""-1.0"";""771.4"";""771.8"";""0.9"";""91"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";"" "";"""";"""";""-1.6"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""-2.3"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""27.0"""
"""15.04.2023 03:00"";""-0.8"";""770.5"";""770.8"";""0.1"";""94"";""Ветер, дующий с северо-запада"";""5"";"""";""10"";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""11.0"";""-1.6"";"""";"""";"""";"""";"""";"""""
"""15.04.2023 00:00"";""-1.0"";""770.4"";""770.8"";""-0.5"";""94"";""Ветер, дующий с западо-северо-запада"";""7"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""5.0"";""-1.8"";"""";"""";"""";"""";"""";"""""
